date,open,high,low,close,year,month
2007-09-30,1.3635,1.4283,1.3553,1.4265,2007,9
2007-10-31,1.4266,1.4508,1.4018,1.4467,2007,10
2007-11-30,1.4466,1.4969999999999999,1.4405,1.4634,2007,11
2007-12-31,1.464,1.4773,1.4311,1.459,2007,12
2008-01-31,1.4621,1.4924,1.4367,1.4867,2008,1
2008-02-29,1.4866,1.5241,1.4439,1.5181,2008,2
2008-03-31,1.52,1.5906,1.5148,1.5777,2008,3
2008-04-30,1.5778,1.6019999999999999,1.5511,1.5638,2008,4
2008-05-31,1.5637,1.5819999999999999,1.5286,1.5557,2008,5
2008-06-30,1.5557,1.5846,1.5305,1.5758,2008,6
2008-07-31,1.5757,1.6041,1.5525,1.5572,2008,7
2008-08-31,1.5573,1.5633,1.4571,1.464,2008,8
2008-09-30,1.4641,1.4869,1.3883,1.413,2008,9
2008-10-31,1.4129,1.4176,1.2331,1.2725,2008,10
2008-11-30,1.2753,1.3118,1.239,1.2684,2008,11
2008-12-31,1.2683,1.4721,1.2551,1.3969999999999998,2008,12
2009-01-31,1.4005,1.403,1.2765,1.2815,2009,1
2009-02-28,1.2774,1.3095,1.2515,1.2674,2009,2
2009-03-31,1.2635,1.374,1.2458,1.3211,2009,3
2009-04-30,1.3212,1.3584,1.2887,1.3256,2009,4
2009-05-31,1.3256,1.4169,1.3215,1.4144,2009,5
2009-06-30,1.4143,1.4338,1.3748,1.4034,2009,6
2009-07-31,1.4035,1.4304,1.3833,1.4258,2009,7
2009-08-31,1.4266,1.4447,1.4045,1.4354,2009,8
2009-09-30,1.4353,1.4842,1.4176,1.4624,2009,9
2009-10-31,1.4623,1.5063,1.4480000000000002,1.4723,2009,10
2009-11-30,1.4717,1.5144,1.4626,1.5011,2009,11
2009-12-31,1.5012,1.5141,1.4217,1.4324,2009,12
2010-01-31,1.4301,1.4579,1.3852,1.3881,2010,1
2010-02-28,1.3880000000000001,1.4025,1.3442,1.3604,2010,2
2010-03-31,1.3603,1.3817,1.3266,1.3507,2010,3
2010-04-30,1.3508,1.3691,1.3113,1.3292,2010,4
2010-05-31,1.3358,1.3359,1.2143,1.2255,2010,5
2010-06-30,1.2254,1.2467,1.1875,1.2203,2010,6
2010-07-31,1.2204,1.3105,1.2195,1.305,2010,7
2010-08-31,1.3062,1.3333,1.2587,1.2703,2010,8
