date,open,high,low,close,year,month,day,day_name
2004-07-19,1.2455,1.2464,1.2402,1.2432,2004.0,7.0,19.0,Monday
2004-07-20,1.2433,1.2456,1.2305,1.2316,2004.0,7.0,20.0,Tuesday
2004-07-21,1.2317,1.2352,1.2213,1.227,2004.0,7.0,21.0,Wednesday
2004-07-22,1.2269,1.2296,1.2236,1.2245,2004.0,7.0,22.0,Thursday
2004-07-23,1.2246,1.225,1.209,1.2133,2004.0,7.0,23.0,Friday
2004-07-26,1.2134,1.2173,1.2111,1.2146,2004.0,7.0,26.0,Monday
2004-07-27,1.2145,1.219,1.2036,1.2071,2004.0,7.0,27.0,Tuesday
2004-07-28,1.2072,1.208,1.2003,1.2063,2004.0,7.0,28.0,Wednesday
2004-07-29,1.2064,1.2098,1.1993,1.2048,2004.0,7.0,29.0,Thursday
2004-07-30,1.2049,1.2123,1.2004,1.2062,2004.0,8.0,30.0,Friday
2004-08-02,1.2063,1.2094,1.2012,1.2029,2004.0,8.0,2.0,Monday
2004-08-03,1.203,1.2077,1.1996,1.2033,2004.0,8.0,3.0,Tuesday
2004-08-04,1.2032,1.2069,1.1971,1.2054,2004.0,8.0,4.0,Wednesday
2004-08-05,1.2053,1.2075,1.2021,1.2068,2004.0,8.0,5.0,Thursday
2004-08-06,1.2067,1.2293,1.2046,1.2281,2004.0,8.0,6.0,Friday
2004-08-09,1.228,1.2292,1.2248,1.2276,2004.0,8.0,9.0,Monday
2004-08-10,1.2275,1.232,1.2224,1.2235,2004.0,8.0,10.0,Tuesday
2004-08-11,1.2236,1.225,1.2197,1.2236,2004.0,8.0,11.0,Wednesday
2004-08-12,1.2237,1.2305,1.2222,1.2231,2004.0,8.0,12.0,Thursday
2004-08-13,1.2229999999999999,1.2383,1.218,1.2374,2004.0,8.0,13.0,Friday
2004-08-16,1.2375,1.2376,1.2318,1.2364,2004.0,8.0,16.0,Monday
2004-08-17,1.2363,1.2392,1.2312,1.2349,2004.0,8.0,17.0,Tuesday
2004-08-18,1.235,1.2366,1.2285,1.2337,2004.0,8.0,18.0,Wednesday
